Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2020-09-17,133.3897247314453,135.55562393047228,132.79222835939808,135.03281904310347,35240133
2020-09-18,133.7631378173828,134.32329432766832,132.19473509396113,134.0992317235541,30929813
2020-09-21,131.2611541748047,134.88343641789464,130.73834933197463,134.43531121825418,24811451
2020-09-22,130.10350036621094,132.0079967715983,129.76740649960607,131.26114123768392,19242719
2020-09-23,128.8338165283203,132.60548101443976,128.23633215534502,130.66363313202316,64164525
2020-09-24,124.39002227783203,128.27370727650458,124.09128000911723,128.2363674516969,32698988
2020-09-25,127.5268325805664,127.8629264902691,124.72609734021488,126.14514078930503,27650738
2020-09-28,129.4313507080078,130.55164015356024,127.34013111884126,127.7135648790677,24087933
2020-09-29,126.51856231689453,130.51427801441463,126.21982009383926,130.51427801441463,26602326
2020-09-30,128.23634338378906,128.53508559643473,125.99575311869752,126.9666712273582,19193371
2020-10-01,127.60150146484375,130.40223620922845,127.04135688299161,130.3275565770476,20517295
2020-10-05,126.40654754638672,129.05791175157876,126.03311380119568,127.7882393849545,25234767
2020-10-06,126.89198303222656,128.16164326788765,125.54763133088015,126.59322900460893,22728054
2020-10-07,126.59324645996094,127.63885611298765,126.21982458541596,126.96668016963123,16913783
2020-10-08,124.83812713623047,127.26542861487083,124.65141618984502,127.04137784623347,26484289
2020-10-09,125.36092376708984,126.14513099370704,124.24063449199392,125.09952135821744,23234939
2020-10-12,128.60977172851562,130.85035006547534,126.9666659569214,127.34009962478936,68801924
2020-10-13,127.07870483398438,130.5889554844144,126.5932398532362,129.09523255881385,37058708
2020-10-14,125.3236083984375,127.71357036438366,124.76346365160299,127.37747641520649,39688050
2020-10-15,123.26972961425781,125.32360948394418,122.89630766988533,125.24891799399316,28161148
2020-10-16,123.75518035888672,124.57672747743314,122.33613689540806,123.6058092314352,21006060
2020-10-19,125.65966796875,126.14513297431394,124.09126532601522,124.57671849645384,19748904
2020-10-20,125.06217956542969,125.69701566769392,124.50203493671859,125.47295308215949,16770677
2020-10-21,125.2115478515625,126.14512615671977,124.42734065501543,125.58498154065035,17113482
2020-10-22,125.88375091552734,126.29452451160522,124.72610978014757,125.13689521135268,22893091
2020-10-23,127.5268325805664,127.71355536433214,125.28625385638603,126.18248061200777,20921450
2020-10-26,125.88375091552734,128.16168152473276,125.65968828671133,128.0870018718789,16699886
2020-10-27,124.87548065185547,126.44388339615969,124.53938674120923,125.84639889073448,47652264
2020-10-28,123.60579681396484,125.84638717089963,123.23236311528821,125.84638717089963,17468592
2020-10-29,122.37345886230469,123.94187307269259,122.07470484476178,123.23234559554189,21816186
2020-10-30,123.4190673828125,124.5766962895297,122.00002427459275,122.48548919361816,16976909
2020-11-02,124.53938293457031,124.8754768349436,122.8215972812891,124.57672275623655,14924105
2020-11-03,127.04134368896484,127.5267967530949,124.80075375913138,124.87544521867902,23473408
2020-11-04,126.81731414794922,128.31103721151865,125.62233333006849,127.00403692784903,19533203
2020-11-05,130.5142822265625,130.70099316321662,127.11605086548023,127.90025810265305,28037401
2020-11-06,129.91677856445312,132.34409161416744,129.50600505898987,131.8212868190097,35571152
2020-11-09,129.05792236328125,132.41880267609395,128.3484064736673,129.91680939622827,36645472
2020-11-10,133.20297241210938,134.09921085396047,128.34837020273704,130.70097983930057,59672371
2020-11-11,138.3936767578125,138.8418019231191,133.38970314784552,134.13655869814855,65757234
2020-11-12,140.41021728515625,140.97037379280965,137.31073984006144,138.31900971871173,48153554
2020-11-13,139.73802185058594,141.00769397761255,138.58039284461228,139.8127133195798,29284742
2020-11-14,140.8583221435547,141.9039316932961,140.44754865403115,141.19440416447205,8066280
2020-11-17,139.92478942871094,141.45585259986305,139.21526166891516,141.15711029843746,21757459
2020-11-18,137.46009826660156,140.746298189078,136.48918013489538,139.51397765632115,27620283
2020-11-19,140.33554077148438,143.24830733575644,136.45185596416366,136.52653561009947,50871154
2020-11-20,143.17361450195312,143.39767710789584,138.95383582241234,141.00771542826007,47052232
2020-11-23,142.5387725830078,143.7711050307781,140.89567843281483,143.39767131433635,24073204
2020-11-24,146.04904174804688,146.72121773319734,142.35206791215623,142.35206791215623,47160760
2020-11-25,144.7793731689453,147.84151092165948,143.77111508269724,146.38512761029992,43263598
2020-11-26,145.48890686035156,146.27311426546615,143.80847256521557,145.71296950042083,25155854
2020-11-27,144.62997436523438,146.19838868276906,144.29389234583357,145.22747060601506,32594141
2020-12-01,145.19012451171875,146.64650760015735,143.6964016052784,145.63824966823805,16505446
2020-12-02,146.34776306152344,148.43898219840088,144.5552861341644,145.6382473551362,29520716
2020-12-03,146.5345001220703,147.28136761421462,145.30217941164608,147.28136761421462,29087754
2020-12-04,148.02822875976562,148.88711568729363,146.75855644458184,147.01995887211226,23005484
2020-12-07,151.72518920898438,152.17331441460868,147.58010206771476,148.02822727333907,37068111
2020-12-08,151.20237731933594,152.8828230919354,149.03647837674689,152.2853386257558,32042241
2020-12-09,153.40562438964844,155.1980895820926,152.84547975670495,153.1068821634286,41212760
2020-12-10,158.8577117919922,159.56722748675287,151.72516768709164,154.33919156535345,67739601
2020-12-11,161.54641723632812,162.77873772148268,159.3431786569722,160.16472564707524,62645643
2020-12-14,161.24769592285156,163.2642238421704,160.57551994974528,162.77875881460025,28029531
2020-12-15,159.49256896972656,161.62112817095075,158.0361857354613,160.76222942503753,24151252
2020-12-16,159.82864379882812,160.98628473650103,159.4552100929538,159.64193286345358,20304621
2020-12-17,159.11911010742188,160.65017274327286,157.77475838590064,159.97799688251226,23248344
2020-12-18,160.20208740234375,161.28503693169873,156.65448473004648,159.15647769534556,24690701
2020-12-21,151.5758056640625,160.35144425516827,148.73773087989687,160.20207314390953,43445980
2020-12-22,151.91188049316406,154.04043927317872,147.05726672789243,151.68781793680776,42564860
2020-12-23,155.16075134277344,155.53418504691388,150.8662933329714,151.6131489061271,24608258
2020-12-24,155.79559326171875,157.32665612008387,153.55500278851008,156.8412029382245,23645158
2020-12-28,156.4677734375,156.99057828984422,155.23545278631403,156.094339709379,16347233
2020-12-29,157.9988250732422,159.45519628028234,156.9158638694796,157.2146179093749,27568853
2020-12-30,157.70010375976562,159.45522937093023,156.50512285757085,158.85774483739618,19654130
2020-12-31,156.09432983398438,157.8121154065636,155.75824778452605,157.25197076738291,18947950
2021-01-01,159.71661376953125,159.97801618220277,156.31839423992702,156.76650758945306,20279389
2021-01-04,159.3805694580078,161.32240626757917,158.40965105322215,159.82868291364855,27927482
2021-01-05,157.9241485595703,159.26850044347174,157.28931243797095,158.67101597734901,18718244
2021-01-06,153.40562438964844,157.9614847624388,152.73344846309126,157.92414494294258,50957586
2021-01-07,151.46380615234375,155.0487490801294,150.94100123567955,153.92845959306462,36298522
2021-01-08,150.4928436279297,153.85372293760332,149.55926538440232,152.62140249657696,58600546
2021-01-11,151.23973083496094,153.92843463608904,150.30615246872895,152.36002014038917,44625924
2021-01-12,154.1898193359375,154.52590135490064,150.56753758477032,151.6131352933077,36989137
2021-01-13,157.77481079101562,159.08182313082156,153.29362900743175,154.9367234716862,66387977
2021-01-14,159.94068908691406,161.69581463943732,158.036192405998,158.3349346627836,50164605
2021-01-15,162.70407104492188,163.18953604824767,157.7374370563878,160.5008204549724,60567280
2021-01-18,164.1230926513672,165.8035263599716,160.27674846003853,163.11482295810558,70211602
2021-01-19,163.450927734375,165.579486863213,162.44266973578746,165.05669387124652,33009228
2021-01-20,162.55471801757812,163.562976121518,161.09833468066358,163.18955420754122,46392916
2021-01-21,159.60458374023438,163.93638133753066,158.48428268791238,163.56294765342332,30116008
2021-01-22,157.36399841308594,160.38878412856906,156.20635750653227,159.82863950237774,25663922
2021-01-25,155.19810485839844,158.70836778493802,154.48858904250667,158.33493404784323,25929487
2021-01-27,157.32666015625,158.82039506679413,154.67530791082373,155.34748388651823,50338134
2021-01-28,154.3018798828125,157.58806840309313,153.66704370589417,156.2810680607777,22984352
2021-01-29,151.79986572265625,155.94495245527017,151.12768981561413,155.75824152808474,24679902
2021-02-01,161.28501892089844,162.77874183475117,150.71691539911896,152.3600094208445,59968324
2021-02-02,162.96546936035156,166.92384525764328,162.0692308517879,164.3098212056346,50324035
2021-02-03,161.88255310058594,165.8035781471483,161.098345724248,165.43014437244537,55709225
2021-02-04,171.74111938476562,172.82406889657946,161.32237414102494,161.39706561965468,109894300
2021-02-05,175.02728271484375,178.38817390521962,169.7245672143905,173.38418877119267,130323308
2021-02-08,174.09371948242188,177.7906930097986,172.89875057309817,177.3799194884373,43093963
2021-02-09,171.03158569335938,178.64959549781003,170.4341012260203,175.2140243052343,73377134
2021-02-10,169.94863891601562,172.60000291092584,166.6250989671229,171.03158840659154,49104142
2021-02-11,169.12709045410156,171.25564959675577,167.6707072599105,171.03158700222625,45311749
2021-02-12,162.40533447265625,168.60428926051785,161.17300201128708,168.60428926051785,114826417
2021-02-15,163.2642059326172,165.0566828876889,162.44265892617787,163.15217464353464,33000365
2021-02-16,163.00283813476562,165.65420247703014,162.2559824408984,163.60033452498647,30271502
2021-02-17,162.62937927246094,163.11484427490046,161.73315257813064,162.51734797688835,20615018
2021-02-18,163.450927734375,164.75793980210452,162.74141196980412,162.96547456287928,24997592
2021-02-19,161.28501892089844,163.4882693910528,159.82863582523277,163.45091773774112,29208388
2021-02-22,158.44784545898438,162.23590335218623,157.64431729214076,162.23590335218623,53531490
2021-02-23,159.5574951171875,161.12629185630135,158.40960452893054,159.17487300557852,27703323
2021-02-24,159.82534790039062,160.55235663684053,158.0269802068067,160.01667109491564,13667471
2021-02-25,160.05490112304688,161.62369766890586,159.78705840188624,160.3227438442075,26953713
2021-02-26,155.99900817871094,159.17486120735873,155.34853123444574,158.60090382905761,45101885
2021-03-01,158.33309936523438,158.9835764667255,156.15209718066535,157.22346837683497,16850430
2021-03-02,160.62887573242188,161.31761255187553,158.02697973373967,158.40961399492852,26590262
2021-03-03,160.66714477539062,162.23592945349318,159.78708477771534,162.23592945349318,21648963
2021-03-04,160.47581481933594,161.70023710560426,158.8687582948497,159.78707804122968,25858155
2021-03-05,159.5957489013672,160.70537957776418,158.56263778791418,159.1748549250343,17990773
2021-03-08,159.17491149902344,161.31764192372964,158.94532847516572,160.47585367187529,23874105
2021-03-09,159.02182006835938,160.51408520727452,156.68776682579283,159.71055689195745,23463213
2021-03-10,158.02699279785156,160.09320342702642,157.4913072132451,160.0166838444922,20358192
2021-03-12,157.03213500976562,159.17487709809967,155.73118099135843,159.17487709809967,31973696
2021-03-15,157.22344970703125,157.64434375172988,154.27719139414097,157.52956438867028,42699297
2021-03-16,159.06008911132812,159.8636174121362,156.84081527383725,157.95045825594048,50641203
2021-03-17,161.16455078125,163.68992703932688,159.5957661772309,162.38897306131744,81604999
2021-03-18,166.55967712402344,167.6693079971668,162.15940129298986,163.0012015216271,95536034
2021-03-19,170.61557006835938,173.06441485092603,164.95262408787147,167.5927799425978,139352860
2021-03-22,172.94961547851562,173.25571800925047,169.50591956424753,170.88339307926893,47823778
2021-03-23,170.04161071777344,174.55666563993816,169.35287393733188,172.1843527576872,43165463
2021-03-24,165.2587127685547,170.50077637518305,164.72302725945815,169.12330281656764,28672557
2021-03-25,161.92984008789062,165.25873290572557,159.9784209965196,164.64652775028227,42248040
2021-03-26,161.39413452148438,164.11082184735753,160.97324049757452,163.9577705774553,27083832
2021-03-30,164.18736267089844,164.53173716778954,161.01152112424666,163.1925232244073,28862387
2021-03-31,167.2101287841797,167.82233381023428,162.7715938384283,163.80470497828782,37890481
2021-04-01,168.3962860107422,168.81718001522145,166.29181598834586,168.35802622671164,30182056
2021-04-05,162.65679931640625,168.35801611659792,161.08801487150276,166.52137681942236,32586507
2021-04-06,162.73333740234375,164.4934450785155,160.82017846651107,163.61338517707253,26663018
2021-04-07,163.61338806152344,164.6847590247519,162.58028900892052,162.77160005519087,15790468
2021-04-08,163.19247436523438,165.3734758124119,162.88637187745474,164.41689644306584,14660557
2021-04-09,163.0777130126953,165.25871486259157,162.65681898260263,163.57513874222084,16994483
2021-04-12,157.10865783691406,161.47066167751757,156.87908698463505,160.70540529206158,35840817
2021-04-13,159.71054077148438,160.4758092212242,157.64433050924424,158.4095989589841,21027436
2021-04-15,158.18002319335938,161.0497618203388,157.64433767951934,159.9401310064459,18205903
2021-04-16,159.1365966796875,160.1314480970825,158.026965908022,159.174868591159,13824608
2021-04-19,157.33822631835938,157.72086053918824,155.92249304067846,156.8790725293934,16400507
2021-04-20,155.76943969726562,158.40959517030885,154.96591148227108,157.79737799981643,22187707
2021-04-22,157.5678253173828,157.87392787452288,153.47366420380845,154.58329506847798,24030915
2021-04-23,157.1468963623047,158.40957822506235,156.30510845379956,156.30510845379956,20381213
2021-04-26,157.10865783691406,158.21830081757744,156.64950400564047,157.49129209299983,20652091
2021-04-27,157.1851806640625,158.3713431529424,156.91733791259657,157.10864896648013,11885588
2021-04-28,157.26170349121094,158.02695979029545,157.10864010467986,157.6443255773961,13197445
2021-04-29,156.34336853027344,158.83047248104873,156.15204537915966,158.4861102117847,13601150
2021-04-30,155.0424346923828,157.4147596095508,154.58328089876056,156.0372861019695,17130954
2021-05-03,153.77976989746094,154.4685067284315,153.05277327774644,153.97108096789657,21405441
2021-05-04,152.74664306640625,154.85112526093232,152.36402096441486,153.97106532223688,18962501
2021-05-05,154.12416076660156,154.58331466050524,152.67015524583076,154.16242055941422,14396547
2021-05-06,155.1572265625,157.606071054737,154.65980085645623,154.8128642480963,14872429
2021-05-07,157.1468963623047,157.98868427080978,155.310257174009,155.310257174009,20213092
2021-05-10,157.2999725341797,158.75396565138877,156.8790785132281,158.52439481150648,16922951
2021-05-11,156.11380004882812,158.0269589767616,155.9224890067204,156.0372804826707,14277000
2021-05-12,155.5398712158203,157.0703960943987,155.2337686654477,156.03729695521233,17174525
2021-05-14,162.42721557617188,163.15422418581633,156.11379379235328,156.87906218354314,64021335
2021-05-17,162.695068359375,166.06223251139312,161.9680718314961,165.90918124903519,39465392
2021-05-18,160.74363708496094,164.22559244420287,160.43753458408855,163.8429582547557,31653409
2021-05-19,158.98355102539062,161.77677007223627,158.83049975424655,160.74365883361997,25345241
2021-05-20,158.4096221923828,160.16973018356185,158.25657090533025,159.51925311855118,21688686
2021-05-21,159.9783935546875,160.5905986051164,158.71569941642764,158.86875067903486,23509878
2021-05-24,161.853271484375,162.2741654644753,158.98353318730196,160.32274681794547,29977506
2021-05-25,161.39413452148438,163.30729358533463,160.8967087992659,163.0011910455302,26310600
2021-05-26,161.16455078125,162.58029624281497,160.93497994085388,162.0828705229793,18253046
2021-05-27,161.58544921875,163.8812425724524,160.9349843386851,161.4706577320576,49385674
2021-05-28,162.9246368408203,163.3837905870995,161.8915378800138,162.61853434330087,26583388
2021-05-31,165.75611877441406,166.7509579758039,164.07253074893097,164.5316966316598,75852502
2021-06-01,164.72303771972656,167.89889119010536,163.95778132007536,166.8275201038779,40247686
2021-06-02,159.94012451171875,162.58029218749618,159.63402198101588,161.08802719192644,100377464
2021-06-03,159.9783935546875,161.27933535020617,159.71053868673184,161.27933535020617,48454441
2021-06-04,159.74880981445312,160.4758063399529,159.17486455081044,160.3227550780958,31286264
2021-06-07,161.8150177001953,162.5420142151847,160.85843823238224,161.01148949202664,32643869
2021-06-08,163.49862670898438,163.95779270738117,161.62373930458614,162.38899575738645,22080199
2021-06-09,162.61856079101562,164.34039671463094,161.85329229604307,163.76645140675916,25846432
2021-06-10,164.80079650878906,166.45431883520683,163.3834952225287,164.32835442847423,31902690
2021-06-11,163.6984405517578,165.7062818661419,163.5803300372632,165.58818382898878,22249404
2021-06-14,163.22601318359375,164.131506344757,161.57249091293912,163.73780878355234,18358717
2021-06-15,163.02914428710938,164.09212636414568,162.98977827754229,163.4228418148021,15426377
2021-06-16,163.65907287597656,164.84015305423554,163.02915429752144,163.02915429752144,20878518
2021-06-17,161.92681884765625,163.77719623887253,161.4150232196823,162.95043505828883,22304032
2021-06-18,161.06068420410156,162.5567299584539,159.44654040999185,162.2023984071566,24475206
2021-06-21,160.98194885253906,162.20239505689088,159.36779261442777,159.91896669794465,19809308
2021-06-22,161.4937286376953,162.39923417655115,160.9031885995469,162.2811236734534,18737552
2021-06-23,160.58824157714844,162.0842872100579,160.3126545520688,161.92679821514892,13059519
2021-06-24,160.0370635986328,161.13941167189247,159.485889562003,160.9819351581897,23299321
2021-06-25,161.45436096191406,161.88742448390704,160.43075740787063,160.6275999261074,14411660
2021-06-28,160.31265258789062,162.12365123374792,160.11579758533665,162.12365123374792,15190488
2021-06-29,160.07644653320312,161.65122431407812,159.9583360161027,160.312667567404,13839294
2021-06-30,159.60398864746094,160.94254515683505,159.4858781512992,160.86381314428692,16556397
2021-07-01,159.84019470214844,160.47011317953536,159.17092269643274,159.76146269081218,10583793
2021-07-02,159.36781311035156,160.39141690680844,159.24970258050212,160.07646381210526,13187847
2021-07-05,160.35202026367188,160.7063517855465,159.60400368727977,159.8402122245221,10642939
2021-07-06,159.44651794433594,160.47012148606845,159.24966295112662,160.03705796928392,11515716
2021-07-07,160.43075561523438,161.57246965839852,159.2890415720702,159.446518080368,18568033
2021-07-08,159.05282592773438,161.02130106376384,158.89534941413285,160.23390601841587,21730892
2021-07-09,158.54103088378906,159.32842599361848,158.18671181850482,159.05283895291234,12289809
2021-07-12,158.34417724609375,159.4858913411806,158.226066740164,159.0528278043318,13589278
2021-07-13,158.93472290039062,159.21030993149353,158.54102535919486,159.05283341048343,11247522
2021-07-14,160.70635986328125,161.53312097853757,158.81661660631212,158.93472711954036,21269167
2021-07-15,162.3992156982422,164.17083561110678,159.76145635365975,160.94253629556948,29963443
2021-07-16,163.6984405517578,165.07637575862591,163.1472664690106,163.54096402487883,30137464
2021-07-19,163.580322265625,164.95825740702793,162.47797415250267,162.83230567915237,17099088
2021-07-20,162.83233642578125,164.8008120059546,162.51738332751592,163.93468474705324,24567907
2021-07-22,162.9897918701172,163.97402953275946,162.0842987105166,162.9897918701172,19016769
2021-07-23,167.24168395996094,168.18655554411333,162.59608301411097,162.98978054728622,46241640
2021-07-26,166.25743103027344,169.56447503109806,165.9818440302047,168.5014930373074,49084040
2021-07-27,164.28897094726562,167.71412575602244,163.73779689705972,166.9267306907738,25378089
2021-07-28,164.64329528808594,165.3519458249621,163.34409223936285,164.01337676789592,15304399
2021-07-29,162.24176025390625,165.50942599750084,161.92679474817265,164.64329893074955,16204679
2021-07-30,161.37562561035156,163.06852626338937,161.1000510601445,162.28113119115508,15515733
2021-08-02,163.22601318359375,163.3834897126073,161.76933345487063,162.55672857727998,10046707
2021-08-03,165.27320861816406,166.06060368378436,162.5567168532533,163.3834779289524,19179805
2021-08-04,164.24960327148438,166.21807843730218,163.8559057428527,166.06060192131764,11421835
2021-08-05,169.4857177734375,170.66681017504877,162.91100875088466,164.2495776439097,48995450
2021-08-06,168.69834899902344,170.07627152998805,167.39914600414244,169.6038420174293,24489836
2021-08-09,168.34400939941406,170.98176879151765,167.4778824294312,169.2888808563677,21142199
2021-08-10,165.23382568359375,168.85582265070977,164.21022218500514,168.5014911642717,18855165
2021-08-11,164.28897094726562,165.82438259036198,163.34409936443538,165.23384253009587,16012451
2021-08-12,164.48582458496094,168.65898345953536,164.05276104587622,165.54879418913586,28758718
2021-08-13,166.49365234375,167.1629368419656,164.7220198431415,165.2338278377781,19576945
2021-08-16,166.06057739257812,167.9109417787558,165.7456244071306,166.45427486305692,11621038
2021-08-17,164.72203063964844,166.5330292655165,164.40707761184717,165.981855228194,8161139
2021-08-18,164.5251922607422,166.53303346022534,164.0527627071405,165.03700030181625,11149120
2021-08-20,164.48582458496094,165.9031257087546,162.7535579512815,162.98977896436065,20168965
2021-08-23,162.4385986328125,165.50942177464665,162.20237762887444,164.9582477503513,10319044
2021-08-24,162.0055389404297,162.98977651031956,161.1787778844413,162.98977651031956,12971124
2021-08-25,162.51736450195312,163.69844472230676,162.20239896282928,162.51736450195312,10994627
2021-08-26,161.1000518798828,162.87167208541337,160.90319687215214,162.51735303524362,15407558
2021-08-27,162.1236572265625,162.87167382283207,161.33626214192216,161.41500664132263,10879860
2021-08-30,163.7771759033203,163.93465242140078,162.20238576783393,162.20238576783393,12550267
2021-08-31,166.3755645751953,166.6117856015037,163.18663062939757,163.81654920710614,26802390
2021-09-01,164.958251953125,167.1629481064773,164.80077543893418,166.13933204822632,16867486
2021-09-02,165.15509033203125,166.53302539329775,164.56455029929995,164.56455029929995,14872714
